Restaurant	Note	Prix	Cuisine	Service	Avis	URL
Brasserie Georges - Lyon	5.0	NE	NE	Positive	Soirée parfaite avec Orphée comme serveuse. Elle a su répondre à nos demandes et agrémenter notre repas. Nous vous la recommandons. Les Suisses	https://www.tripadvisor.fr/Restaurant_Review-g187265-d695217-Reviews-or75-Brasserie_Georges-Lyon_Rhone_Auvergne_Rhone_Alpes.html
Le Gurtlerhoft - Strasbourg	2.0	NE	Négative	Négative	Quand la quantité prime sur la qualité... malgré un cadre médiéval remarquable dans cette cave voûtée, la vaste carte de plats alsaciens traditionnels, et l'immense choix de vins locaux qui semblent garantir une ambiance festive et alcoolisée en ce vendredi soir, la déception est totale côté cuisine : le patron et/ou le chef croient visiblement que remplir à craquer la panse des clients avec d'énormes portions (peu de femmes, à notre table et à celles autour, ont fini leur assiette) dispense de choisir des produits de qualité et de les assaisonner correctement. A  6, on a pu avoir un éventail de cette absence de qualité : flammekueche sans aucun goût, tarte à l'oignon qui est en fait une quiche lorraine très vaguement parsemée d'oignons, pilons de poulet bas de gamme au riesling, ultra crémés mais aucun arôme de vin, jarret énorme mais très bas de gamme avec presque que de la couenne dans une sauce au pinot noir médiocre. Et que dire des desserts, tout aussi énormes mais visiblement industriels. La forêt noire est la pire que j'aie mangé, moi qui suis grand amateur.  A noter aussi, même si ça n'a pas l'air d'être une généralité dans l'établissement, un serveur sinistre et cassant en complet décalage avec l'ambiance générale.	https://www.tripadvisor.fr/Restaurant_Review-g187075-d794843-Reviews-or165-Le_Gurtlerhoft-Strasbourg_Bas_Rhin_Grand_Est.html
"""""""Terre Adélice - Lyon"""""""	5.0	NE	Positive	NE	"""""""Glacier genialissime. Des parfums hauts en couleur, tel que lard fumé ou encore roquefort, à tenter au plus vite ! Le reste des parfums sont excellent, frais."""""""	"""""""https://www.tripadvisor.fr/ShowUserReviews-g187265-d2443980-r808795488-Terre_Adelice_Lyon-Lyon_Rhone_Auvergne_Rhone_Alpes.html"""""""
Le Chalet Restaurant - Annecy	5.0	NE	Positive	Positive	Génial, nous recommandons a 100%, les fondues sont excellentes et le personnel super sympa, nous avons été bien reçus bien conseillés !	https://www.tripadvisor.fr/ShowUserReviews-g187260-d5799201-r929600120-Le_Chalet_Restaurant-Annecy_Haute_Savoie_Auvergne_Rhone_Alpes.html
Le Gratin Dauphinois - Grenoble	5.0	Positive	Positive	Positive	Très bonne expérience dans ce restaurant découvert par hasard. Très bon accueil, tables donnant envie de sy' installer. Plats copieux et très bons.	https://www.tripadvisor.fr/ShowUserReviews-g187264-d9856054-r661541060-Le_Gratin_Dauphinois-Grenoble_Isere_Auvergne_Rhone_Alpes.html
Le Marrakech - Annecy	5.0	NE	Positive	Positive	Nous venons très souvent ici manger un couscous ou un tajine , nous n’avons jamais été déçu ! Le patron est très aimable et là décoration exceptionnelle est à vous couper le souffle . Pour ce qui est des plats ils sont très (voir trop) copieux et si il vous reste un peu de place prenez le thé pour finir sur une note sucrée . Merci pour l’accueil, Je recommande !	https://www.tripadvisor.fr/Restaurant_Review-g187260-d1992149-Reviews-or75-Le_Marrakech-Annecy_Haute_Savoie_Auvergne_Rhone_Alpes.html
Les Terrasses de Lyon - Lyon	4.0	Positive	Positive	Positive	"""""""Ce restaurant mérite amplement son étoile au guide rouge. La cuisine est précise, avec des saveurs bien marquées.  Nous avons volontairement choisi 2 menus différents pour avoir un meilleur aperçu de la cuisine du chef: le menu déjeuner """"""""Terrasses"""""""" et son prix doux à 49 euros  et le menu un peu plus onéreux """"""""Tradition"""""""" à 89 euros. Concernant le premier, il est à noter que l'ensemble des plats étaient satisfaisants avec un petit bémol concernant le dessert autour du clafoutis, peu abouti. J'ai néanmoins beaucoup apprécié l'entrée (tartine de chèvre frais et coppa, gaspacho de concombres) et à un degré moindre le plat principal autour du filet de canette, qui était assez classique et sans surprises mais bien exécuté.  Le menu tradition quant à lui était d'un bon niveau avec une petite fulgurance concernant l'oeuf de poule laqué à la Syrah ainsi que le lapin très bien réalisé. Le service est selon moi le point fort de cet établissement ainsi que sa localisation. Ayant eu la chance de manger dans de nombreux restaurants étoilés dans le monde, ce restaurant propose un service top niveau que l'on pourrait trouver  aisément dans un 3 étoiles sans problème. Je ne mets pas 5 à cause de la cuisine uniquement qui ne m'aura pas véritablement transporté comme je l'aurais imaginé. Sur Lyon je reste de toute façon un admirateur de la cuisine du Neuvième art qui est selon moi le meilleur gastro de la ville même si certains diront que c'est la mère Brazier (dont je ne suis pas fan) mais ce restaurant est pour moi une bonne alternative pour le déjeuner à privilégier par rapport au restaurant Têtedoie qui est selon  moi légèrement inférieur. Un très bon souvenir. Merci pour tout.Thibault"""""""	https://www.tripadvisor.fr/ShowUserReviews-g187265-d3727154-r587364188-Les_Terrasses_de_Lyon-Lyon_Rhone_Auvergne_Rhone_Alpes.html
Chalet la Pricaz - Montmin	5.0	NE	Positive	Positive	Super resto au col de Forclaz. Service et accueil au top. Nous avons super bien mangé et nous avions une vue incroyable sue le coucher de soleil sur le lac d’Annecy avec en prime les parapentes. Si vous voulez une bonne place sur la terrasse pensez à réserver qqs jours avant. Allez y les yeux fermés !!!	https://www.tripadvisor.fr/ShowUserReviews-g3528948-d3291536-r905555424-Chalet_la_Pricaz-Montmin_Haute_Savoie_Auvergne_Rhone_Alpes.html
Brasserie Georges - Lyon	4.0	Positive	Positive	Neutre	Brasserie mythique française où pour pouvoir s’asseoir à une table un samedi soir il faut déjà attendre une bonne heure. Une fois cette épreuve passée, lieu figé dans le temps où l’on pourrait sa croire assis à côté de Piaf. Une carte avec des spécialités lyonnaises rend le moment unique. Un service courtois et élégant à la française malgré le rythme, un orchestre de jazz qui joue des classiques français et modernes, le moment est fort agréable. Une fois gourmande et savoureuse très bien réalisée. Une fois le moment du départ, l’addition renforce l’idée que l’on reviendra dès que l’on peut. !	https://www.tripadvisor.fr/Restaurant_Review-g187265-d695217-Reviews-Brasserie_Georges-Lyon_Rhone_Auvergne_Rhone_Alpes.html
La Ferme à Dédé - Grenoble	3.0	NE	Neutre	NE	Quel dur métier que celui de restaurateur !! Ce restaurant à la déco typique régionale a été un vraie bonne référence en la matière, et même en terme de propositions culinaires, mais bon, maintenant ça fait un peu Disney, limite caricatural pour les autochtones. On ne doutera pas de la sincérité de l encadrement, mais pour rester au top longtemps, il faut innover n est ce pas ?! L adresse demeure cependant très fréquentable.	https://www.tripadvisor.fr/ShowUserReviews-g187264-d718658-r715183748-La_Ferme_a_Dede_Grenoble_Centre-Grenoble_Isere_Auvergne_Rhone_Alpes.html
Shunbun - Grenoble	4.0	Positive	Positive	NE	De passage à Grenoble nous nous sommes arrêté un midi dans ce restaurants. Excellents sushis et prix résonnable le midi produits frais nous avons très bien mangé.	https://www.tripadvisor.fr/ShowUserReviews-g187264-d5443596-r476528760-Shunbun-Grenoble_Isere_Auvergne_Rhone_Alpes.html
Brasserie Chavant Grenoble	4.0	NE	Positive	Neutre	cadre et décors un peu prétentieux ; accueil précieux , service au sourire figé: pas assez esprit brasserie !,  tables très rapprochées ( parfaites pour partager les considérations mondaines des voisins) plats de qualité	https://www.tripadvisor.fr/Restaurant_Review-g187264-d3237883-Reviews-or240-Brasserie_Chavant_Grenoble-Grenoble_Isere_Auvergne_Rhone_Alpes.html
Brasserie Georges - Lyon	4.0	Négative	Neutre	Positive	Contrairement à certains avis, je n'ai pas ressenti de précipitation ou le sentiment d'être pressé. Au contraire, nous avons pu prendre notre temps même pour régler l'addition.  Les plats étaient bons et généreusement servis. Je dois dire que je ne suis pas d'accord avec les critiques sur la qualité - après tout, ce n'est pas un restaurant gastronomique mais une brasserie, et dans cette catégorie, la qualité était tout à fait satisfaisante.  Cependant, je trouve que le prix du pâté en croûte était un peu élevé et aurait mérité d’être accompagné d’une petite salade de même que pour le saucisson pistaché qui aurait pu avoir quelques tranches supplémentaires.  Mais malgré cela, l'ambiance, le service et l'ensemble de l'expérience étaient excellents.  Je recommande vivement cette brasserie pour une sortie conviviale et originale.  Mention spéciale pour l’omelette Norvégienne!	https://www.tripadvisor.fr/Restaurant_Review-g187265-d695217-Reviews-or105-Brasserie_Georges-Lyon_Rhone_Auvergne_Rhone_Alpes.html
Bistrot André - Grenoble	5.0	NE	Positive	NE	L’endroit est parfait pour un déjeuner en famille. L’équipe est accueillante, les plats et les desserts délicieux, copieux et savoureux. Nous avons passé un excellent moment!	https://www.tripadvisor.fr/ShowUserReviews-g187272-d10312929-r964492084-Bistro_Andre-Valence_Drome_Auvergne_Rhone_Alpes.html
Les Terrasses Poulard - Le Mont-Saint-Michel	4.0	Positive	Positive	Positive	Tres bon accueil avec une superbe vue sur la baie du Mont Saint Michel. Menu à 26 euros avec un bon rapport qualité prix. Pas d'attente entre les plats malgré beaucoup de monde dans le restaurant. A découvrir	https://www.tripadvisor.fr/ShowUserReviews-g196646-d3506371-r530800302-Les_Terrasses_Poulard-Mont_Saint_Michel_Manche_Basse_Normandie_Normandy.html
Le Chalet Restaurant - Annecy	5.0	NE	Positive	NE	Cadre idéal, au bord du thiou, intérieur magnifique et nourriture incroyable ! Que demander de plus ? Merci encore pour tout à bientôt !	https://www.tripadvisor.fr/ShowUserReviews-g187260-d5799201-r938598867-Le_Chalet_Restaurant-Annecy_Haute_Savoie_Auvergne_Rhone_Alpes.html
Le Bombay	4.0	Négative	Positive	NE	Cadre agréable et typique, niveau décoration. La nourriture est bonne, même si un peu chère par rapport aux restaurants indiens de la ville. Idéal pour découvrir la cuisine indienne (la carte est très large)	https://www.tripadvisor.fr/ShowUserReviews-g187264-d795433-r710812291-Le_Bombay-Grenoble_Isere_Auvergne_Rhone_Alpes.html
La veyrie - Bernin	4.0	NE	Neutre	Neutre	Le cadre est parfait.  Le service manque un peu de réactivité et de professionnalisme. Dommage car le sourire est bien présent  Côté carte. Les annonces sont belles mais les assiettes ne sont pas totalement abouties. Les assaisonnements sont corrects mais petites erreurs de cuisson.  Carte des vins presente qqs belles quilles. Notamment le vacqueyras de roucas toumba	https://www.tripadvisor.fr/ShowUserReviews-g858498-d8263818-r523932240-La_Veyrie-Bernin_Isere_Auvergne_Rhone_Alpes.html
Les 3 Brasseurs - Echirolles	4.0	Neutre	Positive	Positive	Personnel jeune et dynamique. Incite un peu à la consommation mais c’est de bonne guerre… En tout cas manier l’humour en restant professionnel, ce n’est pas évident ; bravo à eux.   Le prix des plats est raisonnable ; de la bonne bière (logique pour un brasseur) qui accompagne très bien les différents menus ; n’hésitez pas à demander l’avis des serveurs et serveuses, ils connaissent leur affaire.  L’établissement est bien situé : à quelques pas se trouvent un cinéma, une salle de bowling et même une piscine. De plus ils servent tard  (ouvert jusqu’à 23h00).  Bref, une bonne sortie en famille ou entre amis.	https://www.tripadvisor.fr/ShowUserReviews-g1051968-d4742729-r432847245-Les_3_brasseurs-Echirolles_Isere_Auvergne_Rhone_Alpes.html
Le Marrakech - Annecy	4.0	Positive	Positive	Positive	Super soirée en famille. Ambiance chaleureuse. Plat très consistant et très chaud. Personnel au petit soin prix très abordabl. Bel endroit pour se retrouver.	https://www.tripadvisor.fr/Restaurant_Review-g187260-d1992149-Reviews-or75-Le_Marrakech-Annecy_Haute_Savoie_Auvergne_Rhone_Alpes.html
Une Semaine sur Deux - Grenoble	5.0	NE	Positive	NE	Accueil agréable, les plats sont bien présentés tout en étant gourmand.Le lieu est assez cosy.Je recommande.	https://www.tripadvisor.fr/ShowUserReviews-g187264-d3580943-r757959401-Une_Semaine_sur_Deux-Grenoble_Isere_Auvergne_Rhone_Alpes.html
La Belle Idée - Grenoble	5.0	NE	Positive	NE	Pour la seconde fois, un super moment passé à la Petite Idée : un tournedos aux morilles digne d’un chef étoilé pour monsieur et le poisson du jour pour madame, un vrai régal. Une super adresse à Grenoble, souvent complet (pensez à réserver).	https://www.tripadvisor.fr/ShowUserReviews-g187264-d2222187-r600337042-La_Belle_Idee-Grenoble_Isere_Auvergne_Rhone_Alpes.html
La Belle Idée - Grenoble	5.0	Positive	Positive	Positive	"""Petit restaurant avec un accueil charmant tout comme le service efficace. Service en salle et petite terrasse sur le boulevard passant. La cuisine est bien tournée (les ravioles et la gratin dauphinois- entre autre - ont été appréciés). Le menu """" la petite idée régionale"""" à 25 € (e/p/d) est proposé également le dimanche. Avec un choix de 3 propositions, il offre un excellent rapport q/p. Vous pouvez tester, vous ne devriez pas être déçu (la réservation est certainement préférable)."""	https://www.tripadvisor.fr/ShowUserReviews-g187264-d2222187-r770165402-La_Belle_Idee-Grenoble_Isere_Auvergne_Rhone_Alpes.html
Une Semaine sur Deux - Grenoble	5.0	NE	Positive	Positive	Excellents plats, innovants, serveuse très professionnelle et à l'écoute, endroit agréable un peu cocooning, expérience à refaire avec grand plaisir !!!	https://www.tripadvisor.fr/ShowUserReviews-g187264-d3580943-r748896506-Une_Semaine_sur_Deux-Grenoble_Isere_Auvergne_Rhone_Alpes.html
Les Jardins de Sainte-Cécile - Grenoble	5.0	NE	Positive	Positive	Cadre très agréable, service également. Les plats sonrmt raffinés, servis avec le sourire. Les vins conseillés s accordent merveilleusement bien. Rien à redire.	https://www.tripadvisor.fr/ShowUserReviews-g187264-d2284818-r563770280-Les_Jardins_de_Sainte_Cecile-Grenoble_Isere_Auvergne_Rhone_Alpes.html
Les 3 Brasseurs - Echirolles	5.0	NE	Positive	Positive	Je viens dans ce restaurant depuis 7 ans !! Toujours une excellente accueille !  Les serveurs sont agréables, souriant. La nourriture proposees et bien. Je recommande pour des soirées entre amis ou même avec sa famille !!	https://www.tripadvisor.fr/ShowUserReviews-g1051968-d4742729-r441438233-Les_3_brasseurs-Echirolles_Isere_Auvergne_Rhone_Alpes.html
Bistrot André - Grenoble	5.0	Neutre	Positive	Positive	Parfait ,produit ,service et accueil.  Décoration sympa et très bon acoustique et belle carte des vins.  Rapport qualité prix correct	https://www.tripadvisor.fr/ShowUserReviews-g187272-d10312929-r979086451-Bistro_Andre-Valence_Drome_Auvergne_Rhone_Alpes.html
Les Grands Buffets - Narbonne	1.0	Négative	Négative	Négative	NUL NUL ET NUL 4 ans que je viens aux grands buffets de Narbonne, 4 ans que c’est un peu moins bon à chaque fois, mais de plus en plus cher. Réservation faite il y a 1 mois, prix 56.90 €, 1 mois après, 63.90 € par personne. La moitié des plats étaient froids ! Réflexion faite au personnel en répondant ahhhhhh bon mince mais c’est tout , et alors le graall ma fille de 2 mois interdit de poussette bon d’accord mais je demande à pouvoir prendre au moins la coquille pour la poser avec nous juste à côté ( je précise nous étions collé à un mur et aucuns clients ni personnel ne pouvaient passer à coter de nous nous étions vraiment enfermé , et bien même ça refuse et la dame nous dit bah vous la prennent dans les bras et vous la poser sur vos genoux je sais pas réfléchissez ( ont a fait 600 klm allé retour et elle nous dit ça sans scrupule ) c’est la dernière fois c’est de pire en pire votre buffet c’est devenue purement commercial ! Pour la télé et les tiktok, ne gaspillez pas votre argent. La base, pour le cadre, est magnifique, mais c’est tout. La cuisine n’est absolument pas à la hauteur du prix, c’est inadmissible.	https://www.tripadvisor.fr/ShowUserReviews-g187155-d1903797-r973013244-Les_Grands_Buffets-Narbonne_Aude_Occitanie.html
Le Gurtlerhoft - Strasbourg	5.0	NE	Positive	Positive	Une équipe très sympathique et attentive, des plats délicieux et une atmosphère incomparable. Une soirée exceptionnelle.	https://www.tripadvisor.fr/Restaurant_Review-g187075-d794843-Reviews-or90-Le_Gurtlerhoft-Strasbourg_Bas_Rhin_Grand_Est.html
"""""""Terre Adélice - Lyon"""""""	1.0	Négative	Négative	NE	"""""""Nous sommes venus ce samedi pour deguster une glace et des gauffres en famille avec notre fille. Nous avions entendu parlé de ce glacier par des amis il y a longtemps et avons enfin décidé de tester malgré les tarifs exorbitants. Nous nous installons dans la salle petite et non chauffée mais nous avons hate de gouter. Quelle deception que de gouter une gauffre sans aucunes saveurs et pas du tout gourmande. A ce prix la nous attendions vraiment quelque chose d incroyable. La glace était pas mal mais loin d être incroyable. Partis avec le sentiment de s être fait voler."""""""	"""""""https://www.tripadvisor.fr/ShowUserReviews-g187265-d2443980-r260162355-Terre_Adelice_Lyon-Lyon_Rhone_Auvergne_Rhone_Alpes.html"""""""
Le Gratin Dauphinois - Grenoble	4.0	Positive	Positive	Positive	Restaurant connu pour un repas entre amis. Choix des plats intéressant, assiette copieuse et accueil très sympathique. A refaire ^_^	https://www.tripadvisor.fr/ShowUserReviews-g187264-d9856054-r664761152-Le_Gratin_Dauphinois-Grenoble_Isere_Auvergne_Rhone_Alpes.html
Le Bombay	5.0	NE	Positive	Positive	"""Très bon restaurant, service agréable et efficace. La Direction est vraiment à  votre écoute  pour vous conseiller sur le choix des plats...Qui sont très copieux et du coup on vous propose de rapporter si vous voulez ce que vous n'pavez pas pu finir!! LE PLUS c'est que les normes anti.Covid sont très """" bien respectées"""""""	https://www.tripadvisor.fr/ShowUserReviews-g187264-d795433-r775677597-Le_Bombay-Grenoble_Isere_Auvergne_Rhone_Alpes.html
Les Grands Buffets - Narbonne	4.0	NE	Neutre	Positive	bonjour..sommes venues un samedi soir.tres bon accueil.les différents foies gras exellent. le tournedos rossini très bon..le cassoulet très bon..seul dilemme les desserts..dommage..par contre notre serveur Carlos le top du top...	https://www.tripadvisor.fr/ShowUserReviews-g187155-d1903797-r947651219-Les_Grands_Buffets-Narbonne_Aude_Occitanie.html
Le Marrakech - Annecy	1.0	NE	Négative	Négative	Franchement étant grand connaisseur de la cuisine marocaine le restaurant le marrakeche c est du très bas de gamme avec leur tadjine kefta viande surgelé sans goût et leur thé très amer j'ai vraiment passer une très mauvaise soirée et par dessus tout les serveuse sont très froide aucun sourire rien du tt a déconseiller	https://www.tripadvisor.fr/Restaurant_Review-g187260-d1992149-Reviews-or225-Le_Marrakech-Annecy_Haute_Savoie_Auvergne_Rhone_Alpes.html
Shunbun - Grenoble	5.0	Positive	Positive	Positive	Restautant japonais tout simplement parfait. Cadre magnifique, cuisine de qualité et produits frais. Gens sympathiques. Repas pas trop cher (un menu complet le midi a 12€50 pour des sushis et makis !!) . Vraiment je conseille ++++	https://www.tripadvisor.fr/ShowUserReviews-g187264-d5443596-r416414159-Shunbun-Grenoble_Isere_Auvergne_Rhone_Alpes.html
Brasserie Georges - Lyon	5.0	NE	NE	Positive	Les lyonnaiseries sont parfois décevantes, mais la choucroute dame le pion à certaines winstubs alsaciennes renommées. Le samedi soir on s'y bouscule... la Georges se mérite. Service efficace malgré  les conditions difficiles.	https://www.tripadvisor.fr/Restaurant_Review-g187265-d695217-Reviews-or210-Brasserie_Georges-Lyon_Rhone_Auvergne_Rhone_Alpes.html
Le Gratin Dauphinois - Grenoble	3.0	NE	Négative	NE	Les plats ne sont pas à la hauteur des écrits du menu ... Quand on annonce un filet de daurade sauce aux agrumes et gingembre accompagné de légumes du moment, on ne s'attend pas à être servi d'un filet de poisson, certe cuit a point, avec une sauce aux agrumes dont je n'ai trouvé le goût du citron seulement que sur un morceau de pain, par contre je cherche encore le goût du gingembre ! En accompagnement des champignons de Paris coupés en 4 et revenus dans un peu de beurre et rien d'autre (un peu fade) ! Quand au gratin dauphinois, ma fois au goût pas mauvais mais immangeable car beaucoup trop de sel, très déçue car mon gratin  dauphinois (même recette familiale depuis des années) est 10 fois meilleur et sans me vanter ! Qd aux desserts, on vous promet un carpaccio d'ananas rôti au thym et son sorbet d'abricot, je n'ai rien vu de rôti ni par la couleur ni par le goût, par contre j'ai eu l'impression de manger une cuillère d'huile essentielle de thym... Beurk ! Frissons partout, seule la boule de sorbet abricot au centre était bonne ! Vraiment dommage, face à moi mon mari qui a pris une salade de Royans, il s'est régalé, il aime le sel mais a trouvé le gratin trop salé aussi, il a bien aimé ses plats et tant mieux,  dommage que ce resto était réservé pour mon anniversaire, trop déçue !	https://www.tripadvisor.fr/ShowUserReviews-g187264-d9856054-r859064838-Le_Gratin_Dauphinois-Grenoble_Isere_Auvergne_Rhone_Alpes.html
Bistrot André - Grenoble	5.0	NE	Positive	NE	Toujours très bon (repas et vins). Légère panne informatique pour les desserts mais sinon tout s’est bien déroulé pour le repas.	https://www.tripadvisor.fr/ShowUserReviews-g187272-d10312929-r974860457-Bistro_Andre-Valence_Drome_Auvergne_Rhone_Alpes.html
Brasserie Georges - Lyon	4.0	NE	Positive	Positive	Nous y sommes allés sans réservation et nous avons attendu une trentaine de minutes, mais comme il y a un bar ce n'est pas si dérangeant. Les tables sont un peu proches les unes des autres mais comme nous n'avions personne à côté ça a été.  La nourriture y est délicieuse et les serveurs sont attentionnés.	https://www.tripadvisor.fr/Restaurant_Review-g187265-d695217-Reviews-or210-Brasserie_Georges-Lyon_Rhone_Auvergne_Rhone_Alpes.html
La veyrie - Bernin	3.0	NE	Neutre	Neutre	Nous sommes venus pour l’anniversaire de ma mère.  Il y a trop de contraste : d’un côté une déco sympa de l’autre on mange sur des sets en papiers ( datant de l’été !) avec sel/poivre comme à la maison ( le pot « la baleine ) et pareil pour le ketchup/mayo ( le tube sur table).  Je trouve que cela ne correspond aux produits proposés pouvant aller jusqu’à 28€ pour un plat. On s’en tire quand même pour 56€ par personne ( E/P/D vin et café).  Rien à dire sur la qualité des produits c’était bon. Le service est agréable mais d’un côté on vous présente le vin comme si vous étiez dans un gastro et de l’autre on ne change pas les couverts entre l’entrée et le plat.  D’un point de vu personnel, je trouve qu’il y a un gros décalage entre la réputation , le style donné et le service.	https://www.tripadvisor.fr/ShowUserReviews-g858498-d8263818-r630405840-La_Veyrie-Bernin_Isere_Auvergne_Rhone_Alpes.html
Le Gratin Dauphinois - Grenoble	5.0	NE	Positive	Positive	Nous y avons pris un excellent dîner.  Mon plat de Gratin de ravioles aux tomates confites, basilic et chèvre était divin.  Le pluma de porc ibérique était extra aussi, bonne cuisson, purée de légumes crémeuse, sauce à l’ail goutteuse et que dire du gratin dauphinois WOW.  Le tout servi par du personnel agréable et compétent.  Bravo.	https://www.tripadvisor.fr/ShowUserReviews-g187264-d9856054-r842778679-Le_Gratin_Dauphinois-Grenoble_Isere_Auvergne_Rhone_Alpes.html
"""""""Terre Adélice - Lyon"""""""	5.0	Positive	Positive	NE	"""""""Il s'agit surtout faites à la main, un bio et des saveurs rare. J'ai choisi sorbet au citron et basilic. Première fois que ça m'arrive et je ne peux que le recommander. Le mélange de citron et basilique se appétissants. Les gaufres étaient faites à la main. Le ballon est 2.60 euro"""""""	"""""""https://www.tripadvisor.fr/ShowUserReviews-g187265-d2443980-r416863390-Terre_Adelice_Lyon-Lyon_Rhone_Auvergne_Rhone_Alpes.html"""""""
La Fondue - Grenoble	5.0	NE	Positive	Positive	Super ambiance et super bon bravo L équipe  Fondue de tout style  Pour notre par savoyarde  Vraiment excellent	https://www.tripadvisor.fr/ShowUserReviews-g187264-d718663-r437567876-La_Fondue-Grenoble_Isere_Auvergne_Rhone_Alpes.html
La Belle Idée - Grenoble	4.0	NE	Positive	Positive	Ce restaurant que l on m avait recommandé est bien sur tout les points, acceuil, ambiance, qualité des plats. Alors pourquoi pas 5 etoiles ? Il m a manqué un petit quelquechose.	https://www.tripadvisor.fr/ShowUserReviews-g187264-d2222187-r702973090-La_Belle_Idee-Grenoble_Isere_Auvergne_Rhone_Alpes.html
Les Terrasses Poulard - Le Mont-Saint-Michel	1.0	Négative	Négative	Négative	C’est bondé, pas le choix, tout est bondé ! Service très limite. À peine un sourire, vivement que vous partiez. Tout est froid. De ma vie, je n’ai jamais mangé d’omelette aussi ignoble !!! Elle est dure au dessus, pas cuite dessous et une espèce de mousse dégoûtante badigeonne vos frites qui arrivent tièdes, presque froides. L’addition est rude, elle fait mal, comme la digestion de votre repas infecte. C’est honteux de profiter de votre pseudo monopole pour vendre une telle nourriture ! Le monde de la gastronomie pleure. Fuyez !!!!	https://www.tripadvisor.fr/ShowUserReviews-g196646-d3506371-r667685786-Les_Terrasses_Poulard-Mont_Saint_Michel_Manche_Basse_Normandie_Normandy.html
Les Terrasses Poulard - Le Mont-Saint-Michel	2.0	Neutre	Négative	Négative	"""Belle vue sur la Normandie... pour qui a la chance d'avoir une table près des baies vitrées pour les autres c'est autre chose. Les prix sont modérés mais on en a pour son argent : une cuisine quelconque et des plats qui arrivent froids sur les tables. Inutile de demander des galettes (spécialités du cru) on vous le déconseille car  """"il y a de l'attente"""". Quand on attend 1H30 pour un menu """"express"""" on n'ose imaginer ce qu'il doit falloir endurer pour une galette. Le personnel est totalement débordé par l'affluence. Ce n'est pas sur la carte mais le sourire doit être en option. A éviter."""	https://www.tripadvisor.fr/ShowUserReviews-g196646-d3506371-r562053069-Les_Terrasses_Poulard-Mont_Saint_Michel_Manche_Basse_Normandie_Normandy.html
La Belle Idée - Grenoble	5.0	NE	Positive	Positive	Super restaurant ! L’accueil est sympa et sobre, les lieux sont agréables et mettent à l’aise et la cuisine est vraiment réussie. J’ai hâte d’y retourner à l’occasion !	https://www.tripadvisor.fr/ShowUserReviews-g187264-d2222187-r602167123-La_Belle_Idee-Grenoble_Isere_Auvergne_Rhone_Alpes.html
Le Chalet Restaurant - Annecy	5.0	NE	Positive	Positive	Très bon accueil, très bien mangé, Nous avons passé une très bonne soirée. Avec des desserts assez originaux comme sucette de nounours, dessert signature.	https://www.tripadvisor.fr/ShowUserReviews-g187260-d5799201-r965666636-Le_Chalet_Restaurant-Annecy_Haute_Savoie_Auvergne_Rhone_Alpes.html
La veyrie - Bernin	2.0	Neutre	Négative	Négative	"""Entrées et desserts normalement correct, plats très médiocres : Canard trop cuit et secs, légumes trop salés, Risotto """"de cantine"""". De plus le service est """"cheap"""". Je veux bien que le site ait un prix, mais le repas gâche un peu la vue."""	https://www.tripadvisor.fr/ShowUserReviews-g858498-d8263818-r503914167-La_Veyrie-Bernin_Isere_Auvergne_Rhone_Alpes.html
La Fondue - Grenoble	5.0	NE	Positive	Positive	Une gentillesse d accueil et de service qui est agréable à recevoir, une fondue excellente, la charcuterie très fraîche, cadre très sympathique, à ne pas manquer sur Grenoble !	https://www.tripadvisor.fr/ShowUserReviews-g187264-d718663-r252398429-La_Fondue-Grenoble_Isere_Auvergne_Rhone_Alpes.html
"""""""Chateau de la commanderie - Grenoble"""""""	2.0	NE	Neutre	Négative	"""""""Rien à redire sur les plats qui sont au top sauf peut-être le dessert très moyen. Nous avons pris un menu découverte. Après un apéro dans le parc qui est magnifique nous nous sommes assis à notre table.Il ne s est rien passé pendant 20 minutes et c'est sur notre demande qu'on nous a apporté la carte. Le service à été ensuite desesperement lent: au bout d une heure vingt à table nous n avions toujours pas le plat principal. Aucune personne précise n avait l air de s occuper de notre table. Personne ne debarassait rapidement nos couverts. Même en les mettant ostensiblement au bord de l allée. Nous avons également demandé la carte des vins qui est arrivée mais personne n'est venue prendre la commande. Si bien que nous avons eu le plat principal avant le vin. En bref c est vraiment dommage nous n avons pas eu la sortie cool que nous espérions. Bon on n a peut-être pas eu de chance d utres clients avaient l air d être servis normalement. Malheureusement il semble que d autres clients aient eu une expérience comparable alors si vous y allez bon courage."""""""	"""""""https://www.tripadvisor.fr/ShowUserReviews-g672838-d1025014-r606694552-Chateau_de_la_Commanderie-Eybens_Grenoble_Isere_Auvergne_Rhone_Alpes.html"""""""
La Belle Idée - Grenoble	5.0	NE	Positive	Positive	Un cadre chaleureux, des plats régionaux très réussis (gratin de ravioles...), un service attentionné, une excellente soirée en famille, bravo !	https://www.tripadvisor.fr/ShowUserReviews-g187264-d2222187-r638440908-La_Belle_Idee-Grenoble_Isere_Auvergne_Rhone_Alpes.html
